Region,Channel,Event,Timestamp,animal.ID,Trial,index,Signal,Reference,zdFF
Region1G,470,FD,-17.89999999999997,B1715,6,37781,0.036572712,0.038384104,-0.5238251385220193
Region1G,470,FD,-17.79999999999997,B1715,6,37782,0.036254085,0.037859477,-0.5295694846623894
Region1G,470,FD,-17.699999999999967,B1715,6,37783,0.036525444,0.037090336,-0.5444880953658229
Region1G,470,FD,-17.599999999999966,B1715,6,37784,0.037347106,0.037816293,-0.5563728255709648
Region1G,470,FD,-17.499999999999964,B1715,6,37785,0.037180789,0.038119748,-0.5691901903632739
Region1G,470,FD,-17.399999999999963,B1715,6,37786,0.037069328,0.038185691,-0.5886524926799531
Region1G,470,FD,-17.29999999999996,B1715,6,37787,0.036570962,0.038389356,-0.555048186050767
Region1G,470,FD,-17.19999999999996,B1715,6,37788,0.036695845,0.038178105,-0.5229571488571745
Region1G,470,FD,-17.09999999999996,B1715,6,37789,0.036510271,0.038287815,-0.5037329068423644
Region1G,470,FD,-16.999999999999957,B1715,6,37790,0.036060924,0.037785948,-0.4865547870422132
Region1G,470,FD,-16.899999999999956,B1715,6,37791,0.037231559,0.037504669,-0.41672854451208696
Region1G,470,FD,-16.799999999999955,B1715,6,37792,0.037397292,0.03792542,-0.3582707107113394
Region1G,470,FD,-16.699999999999953,B1715,6,37793,0.03768324,0.037964519,-0.29127650338390276
Region1G,470,FD,-16.59999999999995,B1715,6,37794,0.037934757,0.037810458,-0.24206537698595204
Region1G,470,FD,-16.49999999999995,B1715,6,37795,0.039077381,0.037218137,-0.19517696889485986
Region1G,470,FD,-16.39999999999995,B1715,6,37796,0.039048786,0.038121499,-0.15599176243551546
Region1G,470,FD,-16.299999999999947,B1715,6,37797,0.038985177,0.038572012,-0.16723371480979504
Region1G,470,FD,-16.199999999999946,B1715,6,37798,0.038870798,0.039020775,-0.18592491601413166
Region1G,470,FD,-16.099999999999945,B1715,6,37799,0.038592437,0.03910831,-0.22337321475568167
Region1G,470,FD,-15.999999999999943,B1715,6,37800,0.038211368,0.039195261,-0.2773642830244689
Region1G,470,FD,-15.899999999999942,B1715,6,37801,0.037814542,0.039219188,-0.3675648779030939
Region1G,470,FD,-15.79999999999994,B1715,6,37802,0.037422386,0.039110061,-0.43527775954329034
Region1G,470,FD,-15.699999999999939,B1715,6,37803,0.037043651,0.039118814,-0.509535871902592
Region1G,470,FD,-15.599999999999937,B1715,6,37804,0.037062325,0.039560574,-0.5927872780508706
Region1G,470,FD,-15.499999999999936,B1715,6,37805,0.037319094,0.039609594,-0.6668446533197572
Region1G,470,FD,-15.399999999999935,B1715,6,37806,0.037467904,0.039457866,-0.739907988915835
Region1G,470,FD,-15.299999999999933,B1715,6,37807,0.036642157,0.038963585,-0.8023362675129516
Region1G,470,FD,-15.199999999999932,B1715,6,37808,0.03593254,0.038910481,-0.8504796926387033
Region1G,470,FD,-15.09999999999993,B1715,6,37809,0.035116713,0.03749183,-0.8776728400062709
Region1G,470,FD,-14.999999999999929,B1715,6,37810,0.034635854,0.037342437,-0.8957197742005514
Region1G,470,FD,-14.899999999999928,B1715,6,37811,0.034456116,0.037102007,-0.9220599342763534
Region1G,470,FD,-14.799999999999926,B1715,6,37812,0.034591503,0.037053571,-0.9186435177661793
Region1G,470,FD,-14.699999999999925,B1715,6,37813,0.035062442,0.037285247,-0.8722719487722419
Region1G,470,FD,-14.599999999999923,B1715,6,37814,0.035388072,0.037711835,-0.7698064739994175
Region1G,470,FD,-14.499999999999922,B1715,6,37815,0.035398576,0.037831466,-0.6613103899856635
Region1G,470,FD,-14.39999999999992,B1715,6,37816,0.03665091,0.037814542,-0.5234471929579003
Region1G,470,FD,-14.299999999999919,B1715,6,37817,0.037462068,0.037592204,-0.3472611524875133
Region1G,470,FD,-14.199999999999918,B1715,6,37818,0.038685808,0.03753443,-0.12387683851152739
Region1G,470,FD,-14.099999999999916,B1715,6,37819,0.039020191,0.037776027,0.07266230374018431
Region1G,470,FD,-13.999999999999915,B1715,6,37820,0.039705882,0.037896242,0.2463515822679909
Region1G,470,FD,-13.899999999999913,B1715,6,37821,0.040922619,0.037785948,0.40158521113282736
Region1G,470,FD,-13.799999999999912,B1715,6,37822,0.042798203,0.03793359,0.5041537880978624
Region1G,470,FD,-13.69999999999991,B1715,6,37823,0.04213352,0.037797035,0.5655062300103941
Region1G,470,FD,-13.599999999999909,B1715,6,37824,0.041356793,0.037670985,0.5781547573791637
Region1G,470,FD,-13.499999999999908,B1715,6,37825,0.040843838,0.03799078,0.5726212707902586
Region1G,470,FD,-13.399999999999906,B1715,6,37826,0.040267857,0.037955182,0.5638263452301645
Region1G,470,FD,-13.299999999999905,B1715,6,37827,0.03968429,0.037781863,0.537061921917261
Region1G,470,FD,-13.199999999999903,B1715,6,37828,0.03924895,0.037762605,0.4720976482839093
Region1G,470,FD,-13.099999999999902,B1715,6,37829,0.038797852,0.03772584,0.4149820870385574
Region1G,470,FD,-12.9999999999999,B1715,6,37830,0.039321312,0.03775852,0.3658667423436476
Region1G,470,FD,-12.899999999999899,B1715,6,37831,0.040014589,0.037818627,0.3353145053346945
Region1G,470,FD,-12.799999999999898,B1715,6,37832,0.040528128,0.037889239,0.3190628956655781
Region1G,470,FD,-12.699999999999896,B1715,6,37833,0.04014064,0.037763772,0.30044653488171513
Region1G,470,FD,-12.599999999999895,B1715,6,37834,0.0396662,0.037683824,0.27998978356480514
Region1G,470,FD,-12.499999999999893,B1715,6,37835,0.03968429,0.037810458,0.25495548781706223
Region1G,470,FD,-12.399999999999892,B1715,6,37836,0.039531979,0.037651727,0.21482266327028818
Region1G,470,FD,-12.29999999999989,B1715,6,37837,0.038892974,0.03752451,0.15246007232009853
Region1G,470,FD,-12.19999999999989,B1715,6,37838,0.038385854,0.037490663,0.05048085758069409
Region1G,470,FD,-12.099999999999888,B1715,6,37839,0.037910247,0.037689076,-0.05458064699096463
